TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,G(t),Tp,ηref,A,P,Energi/hari,SSavg,Gavg,Tavg,Eavg,Etotal
2025-05-30,26.9,33.6,28.5,78,10,8,6,110,3,SE,666.6666667,48.5,0.1812,50,4832,38.656,,,,,
2025-05-31,26.6,31.7,28.4,76,0,8,5,110,3,SE,666.6666667,48.4,0.18128,50,4834.133333,38.67306667,,,,,
2025-06-01,25.6,31.9,28.1,76,8888,8,5,140,3,SE,666.6666667,48.1,0.18152,50,4840.533333,38.72426667,7.92,641,27.4,36.34,1090.2
2025-06-02,26.3,32,28,73,0,8,5,190,2,SE,666.6666667,48,0.1816,50,4842.666667,38.74133333,,,,,
2025-06-03,23.4,31.8,26.7,78,0,8,4,110,2,E,666.6666667,46.7,0.18264,50,4870.4,38.9632,,,,,
2025-06-04,22.6,32,26.5,77,0,8,4,100,2,SE,666.6666667,46.5,0.1828,50,4874.666667,38.99733333,,,,,
2025-06-05,23.9,31.8,27.3,74,0,8,4,130,2,SE,666.6666667,47.3,0.18216,50,4857.6,38.8608,,,,,
2025-06-06,26,31.2,27.6,76,1.2,8,7,110,4,SE,666.6666667,47.6,0.18192,50,4851.2,38.8096,,,,,
2025-06-07,26.1,31.9,28.4,68,0,8,6,110,3,E,666.6666667,48.4,0.18128,50,4834.133333,38.67306667,,,,,
2025-06-08,25.5,31.8,27.6,70,0,8,6,110,4,E,666.6666667,47.6,0.18192,50,4851.2,38.8096,,,,,
2025-06-09,25.3,30.8,27.1,72,0,8,5,150,4,SE,666.6666667,47.1,0.18232,50,4861.866667,38.89493333,,,,,
2025-06-10,25.7,31.3,27.5,67,0,8,6,110,3,SE,666.6666667,47.5,0.182,50,4853.333333,38.82666667,,,,,
2025-06-11,25.4,31.3,27.5,70,0,8,6,150,4,E,666.6666667,47.5,0.182,50,4853.333333,38.82666667,,,,,
